                          lexeme   lineNumber        tokenName        valueIfNumber               parentNodeSymbol   isLeafNode                     nodeSymbol

                         EPSILON            1           TK_EPS          Not number                <otherFunctions>          YES                          ----- 
                           -----            1            -----          Not number                       <program>           NO               <otherFunctions> 
                           -----            1            -----          Not number                            ROOT           NO                      <program> 
                           _main            1          TK_MAIN          Not number                  <mainFunction>          YES                          ----- 
                           -----            1            -----          Not number                       <program>           NO                 <mainFunction> 
                          record            2        TK_RECORD          Not number                <typeDefinition>          YES                          ----- 
                           -----            2            -----          Not number             <actualOrRedefined>           NO               <typeDefinition> 
                          #marks            2          TK_RUID          Not number                <typeDefinition>          YES                          ----- 
                            type            3          TK_TYPE          Not number               <fieldDefinition>          YES                          ----- 
                           -----            3            -----          Not number              <fieldDefinitions>           NO              <fieldDefinition> 
                            real            3          TK_REAL          Not number             <primitiveDatatype>          YES                          ----- 
                           -----            3            -----          Not number                     <fieldType>           NO            <primitiveDatatype> 
                           -----            3            -----          Not number               <fieldDefinition>           NO                    <fieldType> 
                               :            3         TK_COLON          Not number               <fieldDefinition>          YES                          ----- 
                           maths            3       TK_FIELDID          Not number               <fieldDefinition>          YES                          ----- 
                               ;            3           TK_SEM          Not number               <fieldDefinition>          YES                          ----- 
                           -----            3            -----          Not number                <typeDefinition>           NO             <fieldDefinitions> 
                            type            4          TK_TYPE          Not number               <fieldDefinition>          YES                          ----- 
                           -----            4            -----          Not number              <fieldDefinitions>           NO              <fieldDefinition> 
                            real            4          TK_REAL          Not number             <primitiveDatatype>          YES                          ----- 
                           -----            4            -----          Not number                     <fieldType>           NO            <primitiveDatatype> 
                           -----            4            -----          Not number               <fieldDefinition>           NO                    <fieldType> 
                               :            4         TK_COLON          Not number               <fieldDefinition>          YES                          ----- 
                         physics            4       TK_FIELDID          Not number               <fieldDefinition>          YES                          ----- 
                               ;            4           TK_SEM          Not number               <fieldDefinition>          YES                          ----- 
                            type            5          TK_TYPE          Not number               <fieldDefinition>          YES                          ----- 
                           -----            5            -----          Not number                    <moreFields>           NO              <fieldDefinition> 
                            real            5          TK_REAL          Not number             <primitiveDatatype>          YES                          ----- 
                           -----            5            -----          Not number                     <fieldType>           NO            <primitiveDatatype> 
                           -----            5            -----          Not number               <fieldDefinition>           NO                    <fieldType> 
                               :            5         TK_COLON          Not number               <fieldDefinition>          YES                          ----- 
                       chemistry            5       TK_FIELDID          Not number               <fieldDefinition>          YES                          ----- 
                               ;            5           TK_SEM          Not number               <fieldDefinition>          YES                          ----- 
                           -----            5            -----          Not number              <fieldDefinitions>           NO                   <moreFields> 
                         EPSILON            6           TK_EPS          Not number                    <moreFields>          YES                          ----- 
                           -----            6            -----          Not number                    <moreFields>           NO                   <moreFields> 
                       endrecord            6     TK_ENDRECORD          Not number                <typeDefinition>          YES                          ----- 
                           -----            2            -----          Not number               <typeDefinitions>           NO            <actualOrRedefined> 
                           -----            2            -----          Not number                         <stmts>           NO              <typeDefinitions> 
                         EPSILON            7           TK_EPS          Not number               <typeDefinitions>          YES                          ----- 
                           -----            7            -----          Not number               <typeDefinitions>           NO              <typeDefinitions> 
                           -----            2            -----          Not number                  <mainFunction>           NO                        <stmts> 
                         EPSILON            7           TK_EPS          Not number                  <declarations>          YES                          ----- 
                           -----            7            -----          Not number                         <stmts>           NO                 <declarations> 
                         EPSILON            7           TK_EPS          Not number                    <otherStmts>          YES                          ----- 
                           -----            7            -----          Not number                         <stmts>           NO                   <otherStmts> 
                          return            7        TK_RETURN          Not number                    <returnStmt>          YES                          ----- 
                           -----            7            -----          Not number                         <stmts>           NO                   <returnStmt> 
                         EPSILON            7           TK_EPS          Not number                <optionalReturn>          YES                          ----- 
                           -----            7            -----          Not number                    <returnStmt>           NO               <optionalReturn> 
                               ;            7           TK_SEM          Not number                    <returnStmt>          YES                          ----- 
                             end            8           TK_END          Not number                  <mainFunction>          YES                          ----- 
